INFO 2024-09-05 10:12:45,534 Watching for file changes with StatReloader
INFO 2024-09-05 10:15:43,100 "GET /static/js/actions.js HTTP/1.1" 200 3988
INFO 2024-09-05 10:15:43,100 "GET /static/library/js/library.js HTTP/1.1" 200 530
INFO 2024-09-05 10:15:43,100 "GET /static/images/logo.png HTTP/1.1" 200 58043
INFO 2024-09-05 10:15:43,123 "GET /static/images/mailchimp.webp HTTP/1.1" 200 19650
INFO 2024-09-05 10:15:43,250 "GET /static/js/module.js HTTP/1.1" 200 445
INFO 2024-09-05 10:15:43,364 "GET /static/images/favicon.ico HTTP/1.1" 200 15406
INFO 2024-09-05 10:15:59,640 "GET /library/ HTTP/1.1" 200 34810
INFO 2024-09-05 10:15:59,710 "GET /static/library/css/library.css HTTP/1.1" 200 1412
INFO 2024-09-05 10:15:59,711 "GET /static/css/styles.css HTTP/1.1" 200 4926
INFO 2024-09-05 10:15:59,711 "GET /static/images/logo.png HTTP/1.1" 200 58043
INFO 2024-09-05 10:15:59,753 "GET /static/images/mailchimp.webp HTTP/1.1" 200 19650
INFO 2024-09-05 10:15:59,754 "GET /static/images/1984_cover.jpg HTTP/1.1" 200 47735
INFO 2024-09-05 10:15:59,757 "GET /static/js/index.js HTTP/1.1" 200 470
INFO 2024-09-05 10:15:59,759 "GET /static/js/library.js HTTP/1.1" 200 2656
INFO 2024-09-05 10:15:59,759 "GET /static/library/js/library.js HTTP/1.1" 200 530
INFO 2024-09-05 10:15:59,759 "GET /static/js/actions.js HTTP/1.1" 200 3988
INFO 2024-09-05 10:15:59,760 "GET /static/js/quantity.js HTTP/1.1" 200 3055
INFO 2024-09-05 10:15:59,953 "GET /static/js/module.js HTTP/1.1" 200 445
INFO 2024-09-05 10:15:59,991 "GET /static/images/favicon.ico HTTP/1.1" 200 15406
INFO 2024-09-05 10:16:07,603 "GET /library/ HTTP/1.1" 200 34803
INFO 2024-09-05 10:16:07,680 "GET /static/library/css/library.css HTTP/1.1" 200 1412
INFO 2024-09-05 10:16:07,680 "GET /static/css/styles.css HTTP/1.1" 200 4926
INFO 2024-09-05 10:16:07,680 "GET /static/images/1984_cover.jpg HTTP/1.1" 200 47735
INFO 2024-09-05 10:16:07,681 "GET /static/images/logo.png HTTP/1.1" 200 58043
INFO 2024-09-05 10:16:07,745 "GET /static/js/quantity.js HTTP/1.1" 200 3055
INFO 2024-09-05 10:16:07,745 "GET /static/js/index.js HTTP/1.1" 200 470
INFO 2024-09-05 10:16:07,745 "GET /static/js/actions.js HTTP/1.1" 200 3988
INFO 2024-09-05 10:16:07,757 "GET /static/library/js/library.js HTTP/1.1" 200 530
INFO 2024-09-05 10:16:07,757 "GET /static/js/library.js HTTP/1.1" 200 2656
INFO 2024-09-05 10:16:07,763 "GET /static/images/mailchimp.webp HTTP/1.1" 200 19650
INFO 2024-09-05 10:16:07,973 "GET /static/js/module.js HTTP/1.1" 200 445
INFO 2024-09-05 10:16:08,010 "GET /static/images/favicon.ico HTTP/1.1" 200 15406
INFO 2024-09-05 10:18:17,054 "GET /library/ HTTP/1.1" 200 34801
INFO 2024-09-05 10:18:17,123 "GET /static/css/styles.css HTTP/1.1" 200 4926
INFO 2024-09-05 10:18:17,124 "GET /static/library/css/library.css HTTP/1.1" 200 1412
INFO 2024-09-05 10:18:17,124 "GET /static/images/logo.png HTTP/1.1" 200 58043
INFO 2024-09-05 10:18:17,157 "GET /static/images/1984_cover.jpg HTTP/1.1" 200 47735
INFO 2024-09-05 10:18:17,165 "GET /static/js/index.js HTTP/1.1" 200 470
INFO 2024-09-05 10:18:17,165 "GET /static/images/mailchimp.webp HTTP/1.1" 200 19650
INFO 2024-09-05 10:18:17,168 "GET /static/js/actions.js HTTP/1.1" 200 3988
INFO 2024-09-05 10:18:17,168 "GET /static/js/library.js HTTP/1.1" 200 2656
